lambda_e,eta_r,sample_type,eta50,beta50,pf50,qservice_max_beta3
0.02431660231660232,0.3316216216216217,prior,0.5149484334387967,1.4079880590655567,0.07956730292800313,579.0366563241139
0.03196138996138996,0.09463320463320463,prior,0.2676624933833157,0.8925550427295508,0.18604775190308187,501.9885689734423
0.028521235521235526,0.17602316602316603,prior,0.361973602345398,1.0979070949782488,0.13612252976727118,531.3735415271544
0.03807722007722008,0.17362934362934362,prior,0.28930255269957267,0.9407171869912501,0.17342490446585362,508.7310678801678
0.007498069498069498,0.12096525096525096,prior,0.6908069470921718,1.734363727003534,0.0414267834024884,633.8297517919943
0.033872586872586874,0.2502316602316602,prior,0.3788848063704282,1.133525284887975,0.12849686457214987,536.6426479091559
0.04304633204633205,0.16405405405405404,prior,0.25539246556751255,0.8649586466954688,0.19353074327490627,498.1655365166229
0.020494208494208497,0.09942084942084942,prior,0.40469402896808215,1.1872158024813628,0.11757125461207213,544.6841533692351
0.028521235521235526,0.2693822393822394,prior,0.4329028565371982,1.2449989664494667,0.10656606507597172,553.4733154627922
0.01093822393822394,0.3483783783783784,prior,0.6965576568956904,1.744553800850904,0.0405312843094916,635.6215285148055
0.03693050193050194,0.34359073359073355,prior,0.4392727169143518,1.2579200030224085,0.1042103443783517,555.458003951917
0.017054054054054055,0.16644787644787645,prior,0.5004458358657904,1.3797079249322124,0.083838295933652,574.5180112108255
0.02393436293436294,0.357953667953668,prior,0.5368607808335609,1.4503013318887759,0.07348725391181321,585.8639933565034
0.04151737451737452,0.04196911196911197,prior,0.15587922666484372,0.63299055975507,0.26336990387218084,467.1597109456226
0.045722007722007726,0.23586872586872587,prior,0.3084688343938625,0.9828436153506608,0.1628422060194249,514.7027998186593
0.01590733590733591,0.2167181467181467,prior,0.5477330345723854,1.4711132377735043,0.07063024780435145,589.2515145215956
0.023169884169884174,0.31486486486486487,prior,0.5142709908192997,1.4066719640073693,0.07976234143265426,578.8255822205464
0.01628957528957529,0.3866795366795367,prior,0.6361573304564843,1.6360631585629957,0.050913184844213144,616.8023039909489
0.033490347490347495,0.43934362934362936,prior,0.5350399187966712,1.446804037177956,0.07397590787411717,585.296658484006
0.026992277992277994,0.42258687258687255,prior,0.5593663896360705,1.493249973608942,0.06768588263730435,592.8761757414251
0.03578378378378379,0.108996138996139,prior,0.24952418179622288,0.8516853967054514,0.19719436396697337,496.3371266987926
0.01628957528957529,0.3028957528957529,prior,0.5894788799486412,1.5499274346159204,0.06057946699104838,602.2584713277761
0.014378378378378378,0.19038610038610038,prior,0.5605298188307333,1.495456376701155,0.06739768833328552,593.2386710543271
0.026610038610038612,0.3076833976833977,prior,0.4774762879289763,1.334458864333978,0.09102675978623537,567.3612770453326
0.041899613899613906,0.15687258687258687,prior,0.25448485524335485,0.8629089449277326,0.19409376611902845,497.8827479378611
0.02087644787644788,0.2262934362934363,prior,0.4811150172287615,1.341664928630433,0.08985233170179546,568.4950136939766
0.037312741312741315,0.27895752895752896,prior,0.38283326764656894,1.1417911250241481,0.12677042612597,537.872889261481
0.020111969111969115,0.27895752895752896,prior,0.5244420696417427,1.426381425750051,0.07687913611871183,581.9946348944927
