sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
prior,29.0,0.5580973045283522,0.2707408227566605,0.568021401843141,0.7947823486640153,1.4811446319767714,0.8994455044709014,1.5096316935045049,1.91430476296965,0.07639041672124565,0.027789152972786644,0.0655678051987282,0.18420425510549066,592.4807606999836,502.9476990816821,595.5728601400685,666.2258751657341
prior,30.0,0.5506286628521289,0.26330160904654837,0.5599231827087573,0.7902520868488481,1.4667551752512027,0.8827711700091699,1.4943060806029356,1.9066487278932664,0.07852410483062992,0.02827978574359938,0.06754674279812393,0.188665446739798,590.1537195583344,500.62982695507253,593.0496584768001,664.8143593796846
prior,31.0,0.5434038657305925,0.2562230327318907,0.5522172212510923,0.7858772952611766,1.452790092060711,0.8668333387259999,1.4796621379287962,1.8992399904410515,0.08062857579345627,0.028765781783067896,0.06948156889994413,0.19300514340622685,587.9026542547991,498.424320382043,590.6486744524846,663.4512842112691
prior,32.0,0.536413187562113,0.2495943486896499,0.5446777737402866,0.781466555508948,1.4392350254185609,0.8518443931850549,1.4652769021534182,1.8917549488861003,0.08270296396684597,0.029261689000379544,0.07142140809608473,0.1971419582066486,585.724534536207,496.35898894026366,588.2995719913497,662.0770084977589
prior,33.0,0.5296473629478842,0.24332980499709023,0.5373599164822023,0.7770817698245821,1.4260761258789985,0.8376214166843442,1.4512594206829201,1.8842985357107909,0.0847465576477684,0.02975975561215387,0.07334980759339624,0.20111871428000902,583.6164735370273,494.4071144846106,586.0195114868417,660.710819419855
prior,34.0,0.5230975616488936,0.23715140485305242,0.5303420807957745,0.7727952582611131,1.4133000372098796,0.8235389148254234,1.43776531078863,1.8769943210224551,0.08675878435746284,0.030257200838745908,0.07524947705577864,0.20507611136304002,581.5757199765906,492.48208019483894,583.832930167826,659.3752500894768
prior,35.0,0.5167553650645784,0.23153279836578539,0.5234345217300768,0.768536227770252,1.4008938817912566,0.8106844840039444,1.4244337999608123,1.8697222666429478,0.088739197259762,0.030759350614499005,0.07715629167231397,0.20876649815397777,579.599650830428,490.73146354707126,581.6807082737937,658.0482431710268
prior,36.0,0.5106127441324945,0.22619159685422452,0.5168179957000958,0.7643100777773014,1.3888452458618203,0.7984221219652784,1.4116176455520486,1.862491843997453,0.0906874626640592,0.031265014684542375,0.07902947763491722,0.21229979887286246,577.6857644443638,489.06727932160356,579.6191649632374,656.7314809898012
prior,37.0,0.5046620385554444,0.22107647445859413,0.5103431130430827,0.7601354190881052,1.3771421647174054,0.786639616598856,1.399031646450189,1.855335269334041,0.09260334855607905,0.0317719883943772,0.08089307003563491,0.21573163325198047,575.8316740622103,487.47353566978296,577.601754169761,655.4307622054164
prior,38.0,0.4988959372690788,0.216250367153184,0.5041422508753074,0.7561196491507862,1.365773107950007,0.7754874755169311,1.3869370171769801,1.8484376611690398,0.09448671409530836,0.0322652163509654,0.08272374189321242,0.21901003556539445,574.0351017399624,485.96984186031074,575.6697212776158,654.179549164993
prior,39.0,0.4933074600690806,0.2116569014448159,0.4980154920989604,0.7519632902782551,1.3547269648017968,0.7648408229364544,1.3749469920723423,1.8412846663742886,0.09633750001608879,0.0327887604462322,0.08457246343002735,0.22217910542498373,572.2938726212907,484.53863332875716,573.7607771408382,652.8845321438082
prior,40.0,0.48788994032268856,0.2072710536962634,0.4922136307261954,0.7480361792341591,1.3439930296963014,0.7546459948425087,1.3635559573095952,1.8345131533757673,0.09815571986931049,0.03328646900669641,0.08635332189555188,0.22521628450810205,570.6059095508858,483.17211333833063,571.9530628739251,651.6609429874924
prior,41.0,0.48263700869454107,0.20307983703020538,0.4864238893496007,0.7439836481917725,1.3335609879980905,0.7448766052045566,1.3521527717414874,1.8275120356315095,0.09994145204287098,0.03380898490010595,0.08815563837096517,0.22815053444858474,568.9692280038403,481.8662355042751,570.1491248933769,650.3982761101314
