time_year,eta,phi_deg,c_b_kpa,q_u_bdc_kpa,q_u_matrix_kpa,q_u_non_degrading_kpa,factor_of_safety,settlement_index
35.5,0.44515609555406505,33.36117109427192,7.8853172126111915,1337.4130703428987,961.0457249966094,1849.684099784351,1.4860145226032206,0.047202358161028364
36.0,0.4412501406698208,33.34940787372978,7.805802901526317,1333.6981320552281,961.0457249966094,1849.684099784351,1.4818868133946979,0.04758868030403681
36.5,0.43741194537041145,33.33784562139317,7.727770762345906,1330.0506509478703,961.0457249966094,1849.684099784351,1.4778340566087447,0.04797298895637291
37.0,0.43364033417852754,33.326480957171746,7.651192287484103,1326.4694362403948,961.0457249966094,1849.684099784351,1.4738549291559941,0.048355231442934535
37.5,0.4299341520087634,33.315310555972246,7.576039533590696,1322.9533142571338,961.0457249966094,1849.684099784351,1.4699481269523709,0.048735356710160535
38.0,0.4262922638138627,33.30433114686882,7.5022851102140145,1319.501128478416,961.0457249966094,1849.684099784351,1.4661123649760177,0.04911331532787357
38.5,0.4227135542371012,33.29353951228346,7.429902168690474,1316.111739566469,961.0457249966094,1849.684099784351,1.4623463772960765,0.049489059489629894
39.0,0.41919692727070057,33.28293248717662,7.3588643912563265,1312.7840253680113,961.0457249966094,1849.684099784351,1.458648917075568,0.04986254301161124
39.5,0.4157413059201669,33.27250695824791,7.289145980377216,1309.5168808953724,961.0457249966094,1849.684099784351,1.4550187565504138,0.05023372133009707
40.0,0.41234563187445306,33.262259863146795,7.22072164829128,1306.3092182879047,961.0457249966094,1849.684099784351,1.4514546869865608,0.05060255149755471
40.5,0.40900886518184243,33.25218818969337,7.153566606761589,1303.1599667553098,961.0457249966094,1849.684099784351,1.447955518617011,0.05096899217738766
41.0,0.4057299839314559,33.24228897510901,7.087656557033805,1300.0680725044062,961.0457249966094,1849.684099784351,1.4445200805604514,0.051333003637381865
41.5,0.4025079839402832,33.232559305257,7.022967679995031,1297.0324986507453,961.0457249966094,1849.684099784351,1.4411472207230502,0.05169454774189252
42.0,0.39934187844564456,33.22299631389294,6.959476626529888,1294.0522251164186,961.0457249966094,1849.684099784351,1.4378358056849097,0.05205358794281228
42.5,0.3962306978029865,33.213597181925,6.8971605080699385,1291.126248515266,961.0457249966094,1849.684099784351,1.434584720572518,0.05241008926936546
43.0,0.39317348918892053,33.20435913668387,6.835996887332661,1288.2535820266726,961.0457249966094,1849.684099784351,1.4313928689185251,0.052764018316769794
43.5,0.3901693163094141,33.195279451202374,6.7759637692462595,1285.4332552589838,961.0457249966094,1849.684099784351,1.428259172509982,0.053115343233811806
44.0,0.38721725911304283,33.186355443504695,6.717039592056616,1282.6643141035847,961.0457249966094,1849.684099784351,1.4251825712262052,0.05346403370937789
44.5,0.3843164135092173,33.17758447590512,6.659203218612828,1279.9458205805352,961.0457249966094,1849.684099784351,1.4221620228672613,0.05381006095798777
45.0,0.381465891091299,33.16896395431628,6.602433927827846,1277.276852676668,961.0457249966094,1849.684099784351,1.4191965029740756,0.054153397704372816
45.5,0.3786648188645182,33.16049132756672,6.546711406310682,1274.6565041769152,961.0457249966094,1849.684099784351,1.416285004641017,0.05449401816714631
46.0,0.3759123389786127,33.1521640867278,6.492015740166912,1272.083884489662,961.0457249966094,1849.684099784351,1.4134265383218467,0.05483189804160786
46.5,0.3732076084651045,33.1439797644499,6.438327406964075,1269.5581184667762,961.0457249966094,1849.684099784351,1.4106201316297513,0.05516701448172919
47.0,0.3705497989791341,33.13593593430769,6.385627267858782,1267.0783462190184,961.0457249966094,1849.684099784351,1.4078648291322426,0.055499346081362935
47.5,0.3679380965457735,33.12803021015454,6.333896559882311,1264.6437229273793,961.0457249966094,1849.684099784351,1.4051596921415326,0.05582887285472114
48.0,0.36537170131073976,33.12026024548593,6.283116888381587,1262.253418650954,961.0457249966094,1849.684099784351,1.40250379850106,0.05615557621616537
48.5,0.3628498272954337,33.11262373281173,6.233270219612467,1259.9066181318385,961.0457249966094,1849.684099784351,1.3998962423687094,0.05647943895935266
49.0,0.3603717021562275,33.105118403037395,6.1843388734823455,1257.6025205975548,961.0457249966094,1849.684099784351,1.397336133997283,0.0568004452357799
49.5,0.35793656694792875,33.09774202485387,6.136305516439132,1255.3403395614296,961.0457249966094,1849.684099784351,1.3948225995126995,0.05711858053276916
50.0,0.35554367589134717,33.090492404136135,6.0891531545036806,1253.1193026213614,961.0457249966094,1849.684099784351,1.3923547806904015,0.05743383165093524
