time_year,scenario,S_chem,S_flow,S_WD,S_env
41.0,C,0.75,0.75,0.6,0.72
41.25,C,0.75,0.75,0.6,0.72
41.5,C,0.75,0.75,0.6,0.72
41.75,C,0.75,0.75,0.6,0.72
42.0,C,0.75,0.75,0.6,0.72
42.25,C,0.75,0.75,0.6,0.72
42.5,C,0.75,0.75,0.6,0.72
42.75,C,0.75,0.75,0.6,0.72
43.0,C,0.75,0.75,0.6,0.72
43.25,C,0.75,0.75,0.6,0.72
43.5,C,0.75,0.75,0.6,0.72
43.75,C,0.75,0.75,0.6,0.72
44.0,C,0.75,0.75,0.6,0.72
44.25,C,0.75,0.75,0.6,0.72
44.5,C,0.75,0.75,0.6,0.72
44.75,C,0.75,0.75,0.6,0.72
45.0,C,0.75,0.75,0.6,0.72
45.25,C,0.75,0.75,0.6,0.72
45.5,C,0.75,0.75,0.6,0.72
45.75,C,0.75,0.75,0.6,0.72
46.0,C,0.75,0.75,0.6,0.72
46.25,C,0.75,0.75,0.6,0.72
46.5,C,0.75,0.75,0.6,0.72
46.75,C,0.75,0.75,0.6,0.72
47.0,C,0.75,0.75,0.6,0.72
47.25,C,0.75,0.75,0.6,0.72
47.5,C,0.75,0.75,0.6,0.72
47.75,C,0.75,0.75,0.6,0.72
48.0,C,0.75,0.75,0.6,0.72
48.25,C,0.75,0.75,0.6,0.72
48.5,C,0.75,0.75,0.6,0.72
48.75,C,0.75,0.75,0.6,0.72
49.0,C,0.75,0.75,0.6,0.72
49.25,C,0.75,0.75,0.6,0.72
49.5,C,0.75,0.75,0.6,0.72
49.75,C,0.75,0.75,0.6,0.72
50.0,C,0.75,0.75,0.6,0.72
0.0,D,0.75,0.75,1.175,0.835
0.25,D,0.75,0.75,1.5,0.9
0.5,D,0.75,0.75,1.175,0.835
0.75,D,0.75,0.75,0.85,0.77
1.0,D,0.75,0.75,1.1749999999999998,0.835
1.25,D,0.75,0.75,1.5,0.9
1.5,D,0.75,0.75,1.1750000000000003,0.8350000000000001
1.75,D,0.75,0.75,0.85,0.77
2.0,D,0.75,0.75,1.1749999999999998,0.835
2.25,D,0.75,0.75,1.5,0.9
2.5,D,0.75,0.75,1.1750000000000003,0.8350000000000001
