time_year,scenario,S_chem,S_flow,S_WD,S_env,E_env,eta_eff,qu,FS,beta,pf,pf_life
7.0,F,0.38,0.42,0.32499999999999984,0.383,2.681,0.8715458692839726,938.7174708022926,0.9881236534760974,-0.11266413429371472,0.5448515815786604,0.6480833333333333
7.25,F,0.38,0.42,0.4,0.398,2.778625,0.8698491936381901,938.4913303183386,0.987885610861409,-0.11424253683984281,0.545477233451329,0.6480833333333333
7.5,F,0.38,0.42,0.3250000000000004,0.3830000000000001,2.8762499999999998,0.8681571495222581,938.265018807715,0.9876473882186474,-0.1158225139203274,0.5461033964654246,0.6480833333333333
7.75,F,0.38,0.42,0.25,0.368,2.970125,0.8665344570126363,938.047245277625,0.9874181529238159,-0.11734324356105866,0.5467059708474564,0.6480833333333333
8.0,F,0.38,0.42,0.32499999999999984,0.383,3.064,0.8649160241495831,937.8293255012065,0.9871887636854806,-0.11886534789504276,0.547308982273932,0.6480833333333333
8.25,F,0.38,0.42,0.4,0.398,3.161625,0.8632374464388538,937.6025515883273,0.9869500543035024,-0.12044967129781577,0.5479365271121979,0.6480833333333333
8.5,F,0.38,0.42,0.3249999999999999,0.383,3.2592499999999998,0.8615634508548219,937.375632120578,0.9867111917058715,-0.12203539520775813,0.5485645067833634,0.6480833333333333
8.75,F,0.38,0.42,0.25,0.368,3.353125,0.8599580671241193,937.1572977701173,0.9864813660738078,-0.12356148831745224,0.5491687566918168,0.6480833333333333
9.0,F,0.38,0.42,0.32499999999999984,0.383,3.447,0.8583568976036008,936.9388402617714,0.9862514108018646,-0.12508879814879303,0.5497733742888141,0.6480833333333333
9.25,F,0.38,0.42,0.4,0.398,3.544625,0.856696224782628,936.711531385218,0.9860121383002295,-0.12667836895959467,0.55040251651968,0.6480833333333333
9.5,F,0.38,0.42,0.3250000000000004,0.3830000000000001,3.6422499999999998,0.8550400852121685,936.4841014302287,0.9857727383476093,-0.12826917256315779,0.5510320198604751,0.6480833333333333
9.75,F,0.38,0.42,0.25,0.368,3.736125,0.8534518256327824,936.2652990544361,0.9855424200573012,-0.12979999353651298,0.5516376659854624,0.6480833333333333
10.0,F,0.38,0.42,0.32499999999999984,0.383,3.83,0.8518677353118524,936.0463957042477,0.9853119954781555,-0.1313318790012416,0.5522436128042284,0.6480833333333333
10.25,F,0.38,0.42,0.4,0.398,3.927625,0.8502247763944965,935.8186464729354,0.9850722594451952,-0.1329260482352326,0.552874066904824,0.6480833333333333
10.5,F,0.38,0.42,0.32499999999999996,0.383,4.02525,0.8485863023728173,935.5907996773216,0.9848324207129701,-0.1345212886549972,0.553504810914393,0.6480833333333333
10.75,F,0.38,0.42,0.25,0.368,4.1191249999999995,0.8470149842865131,935.3716184257568,0.9846017036060597,-0.13605622502134204,0.5541115834895329,0.6480833333333333
11.0,F,0.38,0.42,0.3249999999999993,0.3829999999999999,4.212999999999999,0.8454477909864236,935.1523575084134,0.9843709026404351,-0.1375920792035559,0.5547185920669505,0.6480833333333333
11.25,F,0.38,0.42,0.4,0.398,4.310624999999999,0.8438223570237372,934.9242588030877,0.9841307987400923,-0.13919022154447244,0.5553500823180223,0.6480833333333333
11.5,F,0.38,0.42,0.3250000000000005,0.3830000000000001,4.408249999999999,0.8422013601176778,934.6960851173036,0.9838906159129511,-0.14078927937333083,0.5559817937374553,0.6480833333333333
11.75,F,0.38,0.42,0.25,0.368,4.502124999999999,0.8406468028145819,934.4766106152854,0.9836595901213531,-0.14232774104541124,0.5565894323063635,0.6480833333333333
12.0,F,0.38,0.42,0.3249999999999998,0.38299999999999995,4.595999999999998,0.8390963262998317,934.2570769103526,0.9834285020108975,-0.1438669792324666,0.5571972444331015,0.6480833333333333
12.25,F,0.38,0.42,0.4,0.398,4.693624999999998,0.8374882303583298,934.0287160076577,0.983188122113324,-0.14546849226482025,0.5578295046796418,0.6480833333333333
12.5,F,0.38,0.42,0.32499999999999996,0.383,4.791249999999998,0.83588452414469,933.800301809041,0.98294768611478,-0.14707077080497488,0.5584619197543382,0.6480833333333333
12.75,F,0.38,0.42,0.25,0.368,4.885124999999998,0.8343465488425074,933.580616275007,0.9827164381842178,-0.1486121893535293,0.5590701729437227,0.6480833333333333
