lambda_per_year,c_b0_kpa,H_over_B,q_service_kpa,eta_50yr,q_u_50yr_kpa,FS_50yr,serviceability_index_50yr,safe_ultimate_FS_ge_1_5,safe_service_index_le_0_045
0.025,10,1.25,1100,0.4292038374881521,1235.6743258922618,1.1233402962656924,0.06123074695475874,0,0
0.025,10,1.75,650,0.4292038374881521,1263.9158702509667,1.9444859542322563,0.03393522760111747,1,1
0.025,10,1.75,800,0.4292038374881521,1263.9158702509667,1.5798948378137083,0.04176643397060611,1,1
0.025,10,1.75,950,0.4292038374881521,1263.9158702509667,1.3304377581589124,0.04959764034009475,0,0
0.025,10,1.75,1100,0.4292038374881521,1263.9158702509667,1.149014427500879,0.05742884670958339,0,0
0.025,16,0.35,650,0.4292038374881521,1125.1305860826742,1.7309701324348834,0.05625023889277356,1,0
0.025,16,0.35,800,0.4292038374881521,1125.1305860826742,1.4064132326033427,0.06923106325264437,0,0
0.025,16,0.35,950,0.4292038374881521,1125.1305860826742,1.1843479853501833,0.08221188761251519,0,0
0.025,16,0.35,1100,0.4292038374881521,1125.1305860826742,1.0228459873478857,0.095192711972386,0,0
0.025,16,0.75,650,0.4292038374881521,1235.228974573243,1.90035226857422,0.040449554348586866,1,1
0.025,16,0.75,800,0.4292038374881521,1235.228974573243,1.5440362182165537,0.049784066890568454,1,0
0.025,16,0.75,950,0.4292038374881521,1235.228974573243,1.3002410258665715,0.05911857943255004,0,0
0.025,16,0.75,1100,0.4292038374881521,1235.228974573243,1.122935431430221,0.06845309197453163,0,0
0.025,16,1.25,650,0.4292038374881521,1308.1415442479615,2.0125254526891716,0.03417743876621254,1,1
0.025,16,1.25,800,0.4292038374881521,1308.1415442479615,1.635176930309952,0.04206454001995389,1,1
0.025,16,1.25,950,0.4292038374881521,1308.1415442479615,1.3769910992083805,0.04995164127369525,0,0
0.025,16,1.25,1100,0.4292038374881521,1308.1415442479615,1.189219585679965,0.05783874252743661,0,0
0.025,16,1.75,650,0.4292038374881521,1343.8352846090852,2.0674388993985926,0.031917060979767216,1,1
0.025,16,1.75,800,0.4292038374881521,1343.8352846090852,1.6797941057613566,0.03928253659048273,1,1
0.025,16,1.75,950,0.4292038374881521,1343.8352846090852,1.4145634574832475,0.04664801220119825,0,0
0.025,16,1.75,1100,0.4292038374881521,1343.8352846090852,1.2216684405537137,0.05401348781191375,0,0
0.025,22,0.35,650,0.4292038374881521,1159.388484903915,1.7836745921598693,0.05458814286736843,1,0
0.025,22,0.35,800,0.4292038374881521,1159.388484903915,1.4492356061298937,0.06718540660599193,0,0
0.025,22,0.35,950,0.4292038374881521,1159.388484903915,1.2204089314778053,0.0797826703446154,0,0
0.025,22,0.35,1100,0.4292038374881521,1159.388484903915,1.0539895317308319,0.09237993408323888,0,0
0.025,22,0.75,650,0.4292038374881521,1292.4733904218729,1.9884206006490353,0.03865801950757443,1,1
0.025,22,0.75,800,0.4292038374881521,1292.4733904218729,1.615591738027341,0.047579100932399296,1,0
0.025,22,0.75,950,0.4292038374881521,1292.4733904218729,1.3604983057072346,0.05650018235722418,0,0
0.025,22,0.75,1100,0.4292038374881521,1292.4733904218729,1.1749758094744298,0.06542126378204904,0,0
0.025,22,1.25,650,0.4292038374881521,1380.6087626036615,2.12401348092871,0.03238348816630554,1,1
0.025,22,1.25,800,0.4292038374881521,1380.6087626036615,1.7257609532545768,0.039856600820068366,1,1
0.025,22,1.25,950,0.4292038374881521,1380.6087626036615,1.4532723816880648,0.04732971347383118,0,0
0.025,22,1.25,1100,0.4292038374881521,1380.6087626036615,1.2550988750942378,0.05480282612759401,0,0
0.025,22,1.75,650,0.4292038374881521,1423.754698967204,2.190391844564929,0.03012546526220034,1,1
0.025,22,1.75,800,0.4292038374881521,1423.754698967204,1.7796933737090048,0.0370774957073235,1,1
0.025,22,1.75,950,0.4292038374881521,1423.754698967204,1.498689156807583,0.04402952615244665,0,1
0.025,22,1.75,1100,0.4292038374881521,1423.754698967204,1.294322453606549,0.0509815565975698,0,0
0.025,30,0.35,650,0.4292038374881521,1205.065683332236,1.853947205126517,0.05251901628939511,1,0
0.025,30,0.35,800,0.4292038374881521,1205.065683332236,1.5063321041652948,0.06463878927925551,1,0
0.025,30,0.35,950,0.4292038374881521,1205.065683332236,1.268490192981301,0.07675856226911591,0,0
0.025,30,0.35,1100,0.4292038374881521,1205.065683332236,1.09551425757476,0.08887833525897633,0,0
0.025,30,0.75,650,0.4292038374881521,1368.7992782200458,2.105845043415455,0.0365024020212242,1,1
0.025,30,0.75,800,0.4292038374881521,1368.7992782200458,1.7109990977750573,0.04492603325689132,1,1
0.025,30,0.75,950,0.4292038374881521,1368.7992782200458,1.440841345494785,0.05334966449255844,0,0
0.025,30,0.75,1100,0.4292038374881521,1368.7992782200458,1.2443629802000418,0.06177329572822557,0,0
0.025,30,1.25,650,0.4292038374881521,1477.2317204112612,2.272664185248094,0.0302653449071798,1,1
0.025,30,1.25,800,0.4292038374881521,1477.2317204112612,1.8465396505140765,0.03724965527037514,1,1
0.025,30,1.25,950,0.4292038374881521,1477.2317204112612,1.5549807583276434,0.04423396563357048,1,1
0.025,30,1.25,1100,0.4292038374881521,1477.2317204112612,1.3429379276466011,0.051218275996765816,0,0
0.025,30,1.75,650,0.4292038374881521,1530.313918111362,2.3543291047867108,0.02802776098290036,1,1
0.025,30,1.75,800,0.4292038374881521,1530.313918111362,1.9128923976392025,0.03449570582510813,1,1
0.025,30,1.75,950,0.4292038374881521,1530.313918111362,1.6108567559066969,0.04096365066731591,1,1
0.025,30,1.75,1100,0.4292038374881521,1530.313918111362,1.391194471010329,0.04743159550952368,0,0
0.04,10,0.35,650,0.3082682265892902,1051.2637231575586,1.6173288048577825,0.06914685198783334,1,0
0.04,10,0.35,800,0.3082682265892902,1051.2637231575586,1.3140796539469484,0.0851038178311795,0,0
0.04,10,0.35,950,0.3082682265892902,1051.2637231575586,1.10659339279743,0.10106078367452564,0,0
0.04,10,0.35,1100,0.3082682265892902,1051.2637231575586,0.9556942937795987,0.1170177495178718,0,0
0.04,10,0.75,650,0.3082682265892902,1111.7985960557703,1.710459378547339,0.05359209037170809,1,0
0.04,10,0.75,800,0.3082682265892902,1111.7985960557703,1.389748245069713,0.06595949584210227,0,0
0.04,10,0.75,950,0.3082682265892902,1111.7985960557703,1.1703143116376529,0.07832690131249644,0,0
0.04,10,0.75,1100,0.3082682265892902,1111.7985960557703,1.0107259964143367,0.09069430678289062,0,0
0.04,10,1.25,650,0.3082682265892902,1151.8877671912694,1.7721350264481068,0.04699532389077517,1,0
0.04,10,1.25,800,0.3082682265892902,1151.8877671912694,1.4398597089890868,0.05784039863480021,0,0
0.04,10,1.25,950,0.3082682265892902,1151.8877671912694,1.2125134391487047,0.06868547337882525,0,0
0.04,10,1.25,1100,0.3082682265892902,1151.8877671912694,1.0471706974466086,0.07953054812285029,0,0
0.04,10,1.75,650,0.3082682265892902,1171.5130865592043,1.802327825475699,0.044565654599998596,1,1
0.04,10,1.75,800,0.3082682265892902,1171.5130865592043,1.4643913581990053,0.05485003643076751,0,0
0.04,10,1.75,950,0.3082682265892902,1171.5130865592043,1.2331716700623203,0.06513441826153642,0,0
0.04,10,1.75,1100,0.3082682265892902,1171.5130865592043,1.065011896872004,0.07541880009230532,0,0
0.04,16,0.35,650,0.3082682265892902,1074.3245534690416,1.652807005336987,0.0676625856037917,1,0
0.04,16,0.35,800,0.3082682265892902,1074.3245534690416,1.342905691836302,0.08327702843543594,0,0
0.04,16,0.35,950,0.3082682265892902,1074.3245534690416,1.1308679510200437,0.09889147126708017,0,0
0.04,16,0.35,1100,0.3082682265892902,1074.3245534690416,0.9766586849718559,0.11450591409872439,0,0
0.04,16,0.75,650,0.3082682265892902,1150.33288466038,1.7697428994775075,0.051796842139786574,1,0
0.04,16,0.75,800,0.3082682265892902,1150.33288466038,1.437916105825475,0.06374995955666041,0,0
0.04,16,0.75,950,0.3082682265892902,1150.33288466038,1.2108767206951367,0.07570307697353422,0,0
0.04,16,0.75,1100,0.3082682265892902,1150.33288466038,1.0457571678730726,0.08765619439040806,0,0
0.04,16,1.25,650,0.3082682265892902,1200.6693411682995,1.847183601797384,0.04508596734243386,1,0
0.04,16,1.25,800,0.3082682265892902,1200.6693411682995,1.5008366764603744,0.055490421344533976,1,0
0.04,16,1.25,950,0.3082682265892902,1200.6693411682995,1.2638624643876837,0.0658948753466341,0,0
0.04,16,1.25,1100,0.3082682265892902,1200.6693411682995,1.0915175828802723,0.07629932934873422,0,0
0.04,16,1.75,650,0.3082682265892902,1225.3111336234026,1.8850940517283117,0.04260897182953549,1,1
0.04,16,1.75,800,0.3082682265892902,1225.3111336234026,1.5316389170292533,0.05244181148250523,1,0
0.04,16,1.75,950,0.3082682265892902,1225.3111336234026,1.2898011932877922,0.062274651135474944,0,0
0.04,16,1.75,1100,0.3082682265892902,1225.3111336234026,1.1139192123849115,0.07210749078844468,0,0
0.04,22,0.35,650,0.3082682265892902,1097.3853837805243,1.6882852058161912,0.06624070097865686,1,0
0.04,22,0.35,800,0.3082682265892902,1097.3853837805243,1.3717317297256555,0.08152701658911614,0,0
0.04,22,0.35,950,0.3082682265892902,1097.3853837805243,1.1551425092426573,0.09681333219957541,0,0
0.04,22,0.35,1100,0.3082682265892902,1097.3853837805243,0.997623076164113,0.1120996478100347,0,0
0.04,22,0.75,650,0.3082682265892902,1188.8671732649896,1.8290264204076763,0.050117971271192864,1,0
0.04,22,0.75,800,0.3082682265892902,1188.8671732649896,1.4860839665812369,0.06168365694916045,0,0
0.04,22,0.75,950,0.3082682265892902,1188.8671732649896,1.2514391297526206,0.07324934262712804,0,0
0.04,22,0.75,1100,0.3082682265892902,1188.8671732649896,1.0807883393318087,0.08481502830509562,0,0
0.04,22,1.25,650,0.3082682265892902,1249.4509151453294,1.9222321771466606,0.043325702553652555,1,1
0.04,22,1.25,800,0.3082682265892902,1249.4509151453294,1.5618136439316617,0.05332394160449545,1,0
0.04,22,1.25,950,0.3082682265892902,1249.4509151453294,1.3152114896266625,0.06332218065533836,0,0
0.04,22,1.25,1100,0.3082682265892902,1249.4509151453294,1.1358644683139358,0.07332041970618125,0,0
0.04,22,1.75,650,0.3082682265892902,1279.1091806876009,1.9678602779809244,0.040816881282104506,1,1
0.04,22,1.75,800,0.3082682265892902,1279.1091806876009,1.5988864758595012,0.050236161577974774,1,0
0.04,22,1.75,950,0.3082682265892902,1279.1091806876009,1.346430716513264,0.059655441873845035,0,0
0.04,22,1.75,1100,0.3082682265892902,1279.1091806876009,1.162826527897819,0.0690747221697153,0,0
0.04,30,0.35,650,0.3082682265892902,1128.133157529168,1.7355894731217971,0.06443528104834988,1,0
0.04,30,0.35,800,0.3082682265892902,1128.133157529168,1.41016644691146,0.07930496129027678,0,0
0.04,30,0.35,950,0.3082682265892902,1128.133157529168,1.1875085868728086,0.09417464153220366,0,0
0.04,30,0.35,1100,0.3082682265892902,1128.133157529168,1.0255755977537893,0.10904432177413055,0,0
0.04,30,0.75,650,0.3082682265892902,1240.2462247378023,1.9080711149812344,0.04804175948816572,1,0
0.04,30,0.75,800,0.3082682265892902,1240.2462247378023,1.550307780922253,0.05912831937005011,1,0
0.04,30,0.75,950,0.3082682265892902,1240.2462247378023,1.3055223418292656,0.07021487925193451,0,0
0.04,30,0.75,1100,0.3082682265892902,1240.2462247378023,1.1274965679434568,0.0813014391338189,0,0
0.04,30,1.25,650,0.3082682265892902,1314.4930137813692,2.0222969442790295,0.041181914348294255,1,1
0.04,30,1.25,800,0.3082682265892902,1314.4930137813692,1.6431162672267114,0.05068543304405447,1,0
0.04,30,1.25,950,0.3082682265892902,1314.4930137813692,1.3836768566119675,0.06018895173981468,0,0
0.04,30,1.25,1100,0.3082682265892902,1314.4930137813692,1.1949936488921538,0.06969247043557489,0,0
0.04,30,1.75,650,0.3082682265892902,1350.839910106532,2.0782152463177415,0.03864947073621652,1,1
0.04,30,1.75,800,0.3082682265892902,1350.839910106532,1.688549887633165,0.0475685793676511,1,0
0.04,30,1.75,950,0.3082682265892902,1350.839910106532,1.42193674748056,0.056487687999085684,0,0
0.04,30,1.75,1100,0.3082682265892902,1350.839910106532,1.228036281915029,0.06540679663052026,0,0
0.06,10,0.35,650,0.23982965469429118,1029.5185994535607,1.5838747683900933,0.07708866181320652,1,0
0.06,10,0.35,800,0.23982965469429118,1029.5185994535607,1.286898249316951,0.09487835300086957,0,0
0.06,10,0.35,950,0.23982965469429118,1029.5185994535607,1.0837037888984848,0.11266804418853262,0,0
0.06,10,0.35,1100,0.23982965469429118,1029.5185994535607,0.935925999503237,0.13045773537619562,0,0
0.06,10,0.75,650,0.23982965469429118,1075.4628327187686,1.654558204182721,0.06217685070435275,1,0
0.06,10,0.75,800,0.23982965469429118,1075.4628327187686,1.3443285408984607,0.07652535471304954,0,0
0.06,10,0.75,950,0.23982965469429118,1075.4628327187686,1.1320661397039669,0.09087385872174633,0,0
0.06,10,0.75,1100,0.23982965469429118,1075.4628327187686,0.9776934842897896,0.10522236273044314,0,0
0.06,10,1.25,650,0.23982965469429118,1105.8893644330628,1.701368252973943,0.05558025898308639,1,0
0.06,10,1.25,800,0.23982965469429118,1105.8893644330628,1.3823617055413286,0.06840647259456785,0,0
0.06,10,1.25,950,0.23982965469429118,1105.8893644330628,1.1640940678242766,0.08123268620604933,0,0
0.06,10,1.25,1100,0.23982965469429118,1105.8893644330628,1.0053539676664207,0.09405889981753081,0,0
0.06,10,1.75,650,0.23982965469429118,1120.7844192630407,1.7242837219431395,0.053112519518658446,1,0
0.06,10,1.75,800,0.23982965469429118,1120.7844192630407,1.400980524078801,0.065369254792195,0,0
0.06,10,1.75,950,0.23982965469429118,1120.7844192630407,1.179773072908464,0.07762599006573158,0,0
0.06,10,1.75,1100,0.23982965469429118,1120.7844192630407,1.0188949266027643,0.08988272533926814,0,0
0.06,16,0.35,650,0.23982965469429118,1046.6069862409777,1.6101645942168887,0.07583000322664407,1,0
0.06,16,0.35,800,0.23982965469429118,1046.6069862409777,1.308258732801222,0.093329234740485,0,0
0.06,16,0.35,950,0.23982965469429118,1046.6069862409777,1.101691564464187,0.11082846625432594,0,0
0.06,16,0.35,1100,0.23982965469429118,1046.6069862409777,0.9514608965827069,0.12832769776816688,0,0
